"ID","X","Y","Elevation","Elevation (S18E023.hgt)","Elevation (S18E024.hgt)","Elevation (S18E025.hgt)","Elevation (S18E026.hgt)","Elevation (S18E027.hgt)","Elevation (S18E034.hgt)","Elevation (S18E035.hgt)","Elevation (S19E026.hgt)","Elevation (S19E035.hgt)","Elevation (S19E036.hgt)","Elevation (S12E022.hgt)","Elevation (S12E023.hgt)","Elevation (S13E022.hgt)","Elevation (S14E022.hgt)","Elevation (S14E023.hgt)","Elevation (S15E022.hgt)","Elevation (S15E023.hgt)","Elevation (S16E022.hgt)","Elevation (S16E023.hgt)","Elevation (S16E028.hgt)","Elevation (S16E029.hgt)","Elevation (S16E030.hgt)","Elevation (S16E031.hgt)","Elevation (S16E032.hgt)","Elevation (S16E033.hgt)","Elevation (S17E023.hgt)","Elevation (S17E027.hgt)","Elevation (S17E028.hgt)","Elevation (S17E033.hgt)","Elevation (S17E034.hgt)","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,23.4440031332,-11.4752670080,1089.596,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.596 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,-,-,1
2,23.4442731112,-11.4760361393,1089.375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.375 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.035,90.035,90.035,90.035,0.1,0.2%,2
3,23.4441835459,-11.4767924212,1089.667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.667 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.227,174.26,84.228,174.26,0.2,0.3%,3
4,23.4434610542,-11.4770874776,1088.999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1088.999 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.319,259.58,85.322,259.59,0.4,0.8%,4
5,23.4429970280,-11.4769538513,1089.278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.278 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.743,312.32,52.743,312.33,0.3,0.5%,5
6,23.4424597949,-11.4762667100,1089.457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.457 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.987,408.31,95.987,408.32,0.1,0.2%,6
7,23.4423892241,-11.4759391209,1089.757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.757 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.046,445.36,37.048,445.36,0.5,0.8%,7
8,23.4421158568,-11.4758418855,1089.533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.533 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.707,477.06,31.708,477.07,0.4,0.7%,8
9,23.4412499216,-11.4764179955,1089.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.5 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113.96,591.03,113.96,591.04,0.0,0.0%,9
10,23.4412571053,-11.4771320928,1089.217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1089.217 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.996,670.03,78.997,670.03,0.2,0.4%,10
